iter	Logloss
0	0.6871802935
1	0.6815627094
2	0.6767131502
3	0.6713974316
4	0.6664751479
5	0.6612118253
6	0.6568434284
7	0.6517005971
8	0.6470575396
9	0.6425625673
10	0.637433308
11	0.6330885911
12	0.6277690065
13	0.6235129487
14	0.6186259262
15	0.614206385
16	0.6096236916
17	0.6053144746
18	0.6013743541
19	0.5971866923
20	0.593534242
21	0.5900490394
22	0.5858998193
23	0.5816237752
24	0.5785176623
25	0.5757344528
26	0.5715567599
27	0.568400901
28	0.5650932749
29	0.5622050859
30	0.5589219958
31	0.5557866576
32	0.5529725863
33	0.5494230227
34	0.5461262954
35	0.5432475303
36	0.5402660319
37	0.5372751777
38	0.5345409464
39	0.5322554348
40	0.5293269696
41	0.5266685798
42	0.5241780845
43	0.5215531144
44	0.519523461
45	0.5176320896
46	0.5157285236
47	0.5138336699
48	0.5112506516
49	0.5090676864
50	0.506924306
51	0.5045721722
52	0.5022338958
53	0.4998536434
54	0.4978184116
55	0.4957807
56	0.4937800198
57	0.4917907523
58	0.4898956756
59	0.4881577813
60	0.4862676814
61	0.4849390367
62	0.4836431795
63	0.4816722715
64	0.4801491123
65	0.4785095535
66	0.47656786
67	0.4748910524
68	0.4736571615
69	0.471866094
70	0.4704344976
71	0.4692563522
72	0.4677739364
73	0.4662189586
74	0.4650765166
75	0.4638065064
76	0.4623529434
77	0.4611734851
78	0.4597517324
79	0.4585996269
80	0.4575681229
81	0.4559377022
82	0.4545724274
83	0.4538436356
84	0.452831791
85	0.4517244562
86	0.4505043885
87	0.449345924
88	0.4483574062
89	0.4472397525
90	0.4464539538
91	0.4453738459
92	0.4443269302
93	0.4433154663
94	0.4422756633
95	0.4413134808
96	0.4401192669
97	0.4392735043
98	0.4383013856
99	0.4372013445
100	0.4361862498
101	0.4353491527
102	0.4346051023
103	0.4335551164
104	0.4327960582
105	0.4316968924
106	0.430528907
107	0.4295664131
108	0.428830021
109	0.4280132206
110	0.427189897
111	0.4265724743
112	0.4257286213
113	0.4251743481
114	0.4243628124
115	0.4235648512
116	0.4226562243
117	0.4217286794
118	0.421014178
119	0.4201949533
120	0.4193053301
121	0.418631287
122	0.4177018838
123	0.4171302175
124	0.4165427661
125	0.4158847051
126	0.4152158968
127	0.4143855568
128	0.4137503593
129	0.4129825378
130	0.4123796073
131	0.4116804682
132	0.4111321107
133	0.4105273364
134	0.4099888353
135	0.4095333018
136	0.408899358
137	0.4084811974
138	0.407772334
139	0.4072627666
140	0.4063571534
141	0.405874634
142	0.4051849447
143	0.4044975542
144	0.4039483127
145	0.4033161657
146	0.4027903406
147	0.4023218372
148	0.4016131121
149	0.4010866607
150	0.4004696222
151	0.399883807
152	0.3992942812
153	0.3987304173
154	0.3981284505
155	0.3976482714
156	0.3972666965
157	0.3968942958
158	0.3963714254
159	0.3958587427
160	0.3953841662
161	0.3948119018
162	0.3944082538
163	0.3937292795
164	0.3933119859
165	0.3929930824
166	0.3921970372
167	0.3917116801
168	0.3914921358
169	0.3910762432
170	0.3908062087
171	0.3904457782
172	0.3896163527
173	0.3890069902
174	0.3885037397
175	0.3880020329
176	0.3875201385
177	0.3871519988
178	0.3865164706
179	0.3860413746
180	0.3858429628
181	0.3856140964
182	0.3850860528
183	0.384641347
184	0.3841467486
185	0.3837940839
186	0.3834090144
187	0.3832109045
188	0.3828063875
189	0.382544441
190	0.3822613915
191	0.3818992741
192	0.3815312675
193	0.3812474306
194	0.3808454439
195	0.3804962058
196	0.380129318
197	0.379675906
198	0.379230873
199	0.3788659792
200	0.3786609997
201	0.3782393386
202	0.3776806575
203	0.3773982279
204	0.3770318497
205	0.3765815648
206	0.3763080512
207	0.3758633752
208	0.3754204804
209	0.3750210124
210	0.3747062772
211	0.3741095333
212	0.3739686168
213	0.3736223698
214	0.3734052683
215	0.3731075677
216	0.3726932313
217	0.3722831973
218	0.3719940313
219	0.3715850137
220	0.3712387215
221	0.3710123797
222	0.3706372552
223	0.3702643821
224	0.3697433724
225	0.3695072517
226	0.3692631864
227	0.3689732724
228	0.3688083806
229	0.3685198883
230	0.3681222868
231	0.3676125146
232	0.3673247912
233	0.3669529661
234	0.3665912814
235	0.3663397883
236	0.3660718242
237	0.3655926656
238	0.3651294767
239	0.364745128
240	0.3643943318
241	0.3640493489
242	0.3637489474
243	0.3635198303
244	0.3632393566
245	0.3629490952
246	0.3624450645
247	0.3620934799
248	0.3619562427
249	0.3617373892
250	0.3615768503
251	0.3608975812
252	0.3606445417
253	0.3601224937
254	0.3599119407
255	0.359597198
256	0.3594168427
257	0.3591552648
258	0.3588262154
259	0.3587053127
260	0.3582600786
261	0.3580453472
262	0.357814805
263	0.3574771123
264	0.3571761923
265	0.3568940492
266	0.3566588429
267	0.3564244926
268	0.356073145
269	0.3558464717
270	0.3556545913
271	0.3554155644
272	0.3550981035
273	0.3548822849
274	0.3545228147
275	0.3543097293
276	0.3539807196
277	0.3536304892
278	0.3534051939
279	0.3532112132
280	0.3529087777
281	0.3527568357
282	0.3524432344
283	0.3523257747
284	0.3519525034
285	0.3517273757
286	0.3515268606
287	0.3513976818
288	0.3512105683
289	0.3509754132
290	0.3507639211
291	0.3503448885
292	0.3500801668
293	0.3498640221
294	0.3496792692
295	0.3493670449
296	0.3492751526
297	0.3489813788
298	0.3487314323
299	0.3483298661
300	0.3480080554
301	0.3477289517
302	0.3474596059
303	0.3472045095
304	0.3469298835
305	0.3468120126
306	0.3465910177
307	0.3464418238
308	0.346182697
309	0.3459243407
310	0.3454666395
311	0.3452309481
312	0.3450286704
313	0.3446256878
314	0.3444457034
315	0.3440899871
316	0.3438684852
317	0.3436011207
318	0.3434838051
319	0.3434740552
320	0.343345248
321	0.3431216323
322	0.3429763606
323	0.3427855221
324	0.3426441481
325	0.3423620926
326	0.3422239484
327	0.3420344992
328	0.3416553945
329	0.3413769902
330	0.3412198623
331	0.3410422639
332	0.340838722
333	0.340604229
334	0.3404421557
335	0.3401737509
336	0.340038544
337	0.3399898757
338	0.3398940373
339	0.3398511845
340	0.3396286008
341	0.3395452649
342	0.3394719736
343	0.3393761533
344	0.3391224986
345	0.3389496027
346	0.3387338993
347	0.3384773196
348	0.3382064493
349	0.3378597803
350	0.3377806687
351	0.3374909457
352	0.3373648299
353	0.3371964861
354	0.337101046
355	0.3366354988
356	0.3364641215
357	0.3364557688
358	0.3363333608
359	0.3361961519
360	0.3356055926
361	0.3354313851
362	0.3352254717
363	0.3350207665
364	0.3348522328
365	0.3346785002
366	0.334606855
367	0.334387279
368	0.334153149
369	0.333986591
370	0.333804381
371	0.3336501397
372	0.3334740918
373	0.3331401979
374	0.3329710387
375	0.3327798376
376	0.3326220506
377	0.3324591943
378	0.332359977
379	0.3321786862
380	0.3321081196
381	0.3319525202
382	0.331746051
383	0.3314548651
384	0.3311491877
385	0.3310817972
386	0.3307249323
387	0.3306713451
388	0.3303931614
389	0.3303112564
390	0.3301271277
391	0.3299454772
392	0.3298445213
393	0.3296706352
394	0.3294670701
395	0.3293373887
396	0.3289906795
397	0.3288437168
398	0.3286605074
399	0.3286168054
400	0.3284915892
401	0.3284317681
402	0.3282389639
403	0.327951196
404	0.327815919
405	0.3277651753
406	0.3275431251
407	0.327478084
408	0.3273466501
409	0.3272947692
410	0.3271455014
411	0.3270137042
412	0.3268644751
413	0.3266823236
414	0.3265914651
415	0.3265268865
416	0.3264306655
417	0.3262022147
418	0.3260095223
419	0.3259496943
420	0.3257448031
421	0.3254818889
422	0.3252837258
423	0.3250915002
424	0.3246658761
425	0.3245880806
426	0.3243972566
427	0.3241322777
428	0.3240064784
429	0.323898048
430	0.3237530732
431	0.32348247
432	0.3233391356
433	0.3232403673
434	0.3230585809
435	0.3227775694
436	0.3225781466
437	0.3224317672
438	0.3221459935
439	0.3220237534
440	0.3219286302
441	0.3218678136
442	0.3217749619
443	0.3216141425
444	0.321411305
445	0.321256608
446	0.3211692251
447	0.3210994329
448	0.320854728
449	0.3206666061
450	0.3203840881
451	0.320144813
452	0.3199866727
453	0.3197926062
454	0.3196678651
455	0.3193574091
456	0.319173278
457	0.3186584003
458	0.318560706
459	0.3184183241
460	0.3180800441
461	0.3179513717
462	0.3177468224
463	0.317547905
464	0.3172602288
465	0.3171310471
466	0.3170738344
467	0.3168146498
468	0.3166291952
469	0.3162958763
470	0.3159646957
471	0.3156971919
472	0.3155249625
473	0.315479632
474	0.3152696473
475	0.3152507549
476	0.3151542937
477	0.3150333077
478	0.3149475584
479	0.3148166287
480	0.3147190922
481	0.3145925446
482	0.3143790758
483	0.3140921975
484	0.3138172494
485	0.3137454254
486	0.3135664819
487	0.3133761044
488	0.3131881552
489	0.3130992206
490	0.3129555097
491	0.3127650754
492	0.3124651539
493	0.312322198
494	0.3121526887
495	0.3118952604
496	0.3116364603
497	0.3115116897
498	0.3112905416
499	0.3110127808
500	0.310781126
501	0.3107073237
502	0.3105385342
503	0.3104562969
504	0.3102179552
505	0.31013104
506	0.309979877
507	0.3097509876
508	0.3095768068
509	0.309412515
510	0.3091479998
511	0.3088772246
512	0.3086567466
513	0.3083078187
514	0.3082078322
515	0.3080693974
516	0.3078606809
517	0.3076918567
518	0.307579386
519	0.3075414504
520	0.3073386901
521	0.3072344029
522	0.3070520575
523	0.3068205634
524	0.3066458363
525	0.306555943
526	0.3064344942
527	0.3063466789
528	0.3061590888
529	0.3059028858
530	0.3057019514
531	0.3056356003
532	0.3054923386
533	0.3053468902
534	0.3050935526
535	0.3050587777
536	0.3049913828
537	0.304886915
538	0.3048186682
539	0.30464566
540	0.3045290337
541	0.3043517856
542	0.3042096379
543	0.3041170473
544	0.3041128903
545	0.3038564428
546	0.3036396203
547	0.3035082001
548	0.303462299
549	0.303312359
550	0.3031078156
551	0.3030287931
552	0.3027364691
553	0.3025474605
554	0.3023204552
555	0.3021814661
556	0.3018437068
557	0.301732328
558	0.3015029945
559	0.3012638851
560	0.3011567041
561	0.3009716448
562	0.3008882305
563	0.3006333046
564	0.3005557779
565	0.3005231464
566	0.300493579
567	0.3002361093
568	0.3001101131
569	0.2998351741
570	0.2996385762
571	0.2994926708
572	0.2992794837
573	0.2990509037
574	0.2989687186
575	0.2988732761
576	0.2985812928
577	0.2984675789
578	0.2983849888
579	0.2982522904
580	0.298096815
581	0.2979355344
582	0.2977949803
583	0.2976126186
584	0.2974975603
585	0.2973114107
586	0.2971059939
587	0.2970516702
588	0.2969307496
589	0.2968187315
590	0.2966988341
